global_id;Локальный идентификатор;Наименование показателя;Год;Значение показателя;Единица измерения
1031018232;5;Количество новых патентов в год;2017;8493;штук
1031018233;6;Количество новых патентов в год;2018;8217;штук
1045799456;7;Количество новых патентов в год;2019;8055;штук
1045808245;4;Количество новых патентов в год;2016;11481;штук
1045808322;3;Количество новых патентов в год;2015;9116;штук
1045808427;2;Количество новых патентов в год;2014;12199;штук
1045808548;1;Количество новых патентов в год;2013;10546;штук
1139420763;8;Количество новых патентов в год;2020;6687;штук
2389598847;9;Количество новых патентов в год;2021;6933;штук
2629906462;10;Количество новых патентов в год;2022;7082;штук
