global_id;ID;Year;Quarter;StateRegistrationOfBirth;NumberOfBirthCertificatesForBoys;NumberOfBirthCertificatesForGirls;StateRegistrationOfDeath;StateRegistrationOfMarriage;StateRegistrationOfDivorce;StateRegistrationOfPaternityExamination;StateRegistrationOfAdoption;StateRegistrationOfNameChange;TotalNumber
global_id;Код;Год;Квартал;Государственная регистрация рождения;Число зарегистрированных актов о рождении детей мужского пола;Число зарегистрированных актов о рождении детей женского пола;Государственная регистрация смерти;Государственная регистрация заключения брака;Государственная регистрация расторжения брака;Государственная регистрация установления отцовства;Государственная регистрация усыновления (удочерения);Государственная регистрация перемены имени;Общее количество
1062033794;1;2020;I квартал;28721;14731;13990;31041;13859;10708;3173;136;2528;90166
1062033795;2;2020;II квартал;28386;14790;13596;40688;10162;4134;2912;63;735;87080
1069386181;4;2020;III квартал;34712;17780;16932;32909;26470;14347;4626;163;3351;116578
1091753199;5;2020;IV квартал;31286;16014;15272;44715;15297;10016;4080;120;2130;107644
1124212980;6;2021;I квартал;28227;14532;13695;41870;13829;12242;3926;124;3238;103456
1136550520;7;2021;II квартал;31750;16345;15405;42576;20131;11208;4168;151;2717;112701
1266741654;8;2021;III квартал;34205;17601;16604;41609;33943;11440;4571;147;3259;129174
2256704376;9;2021;IV квартал;32675;16660;16015;45184;19076;11446;4467;141;3349;116338
2366419260;10;2022;I квартал;28975;14821;14154;40040;15014;10998;4090;113;3562;102792
2382081649;11;2022;II квартал;29894;15422;14472;27226;24814;12085;4098;177;3635;101929
2392498162;12;2022;III квартал;32822;16866;15956;27887;33989;12528;5432;202;4383;117243
2536202031;13;2022;IV квартал;29397;15084;14313;30483;26796;12563;4894;205;3705;108043
2588383535;14;2023;I квартал;27702;14313;13389;28879;13548;11302;3970;162;3735;89298
2608048601;15;2023;II квартал;28686;14927;13759;27382;21118;12341;4271;179;3801;97778
2629916400;16;2023;III квартал;31062;15882;15180;26824;32859;12336;4659;154;4619;112513
2644331277;17;2023;IV квартал;29003;14966;14037;31530;19069;12790;4220;167;4510;101289
